No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,A01B1/00,0,手作業具（芝生の縁切り取り具Ａ０１Ｇ３／０６）,-,-,2B031
2,A01B1/02,1,鋤；ショベル,スコップ等,E02F3/02 掘削用手作業具（スコップ等） E01H5/02 道路または類似物の表面からの雪または氷の除去用手道具（スコップ等）,2B031
3,A01B1/04,2,歯を有するもの,-,-,2B031
4,A01B1/06,1,ホー；手持ちカルチベーター,-,-,2B031
5,A01B1/08,2,一枚刃を有するもの,-,-,2B031
6,A01B1/10,2,二枚刃またはそれ以上の刃を有するもの,-,-,2B031
7,A01B1/12,2,歯を有する刃を有するもの,-,-,2B031
8,A01B1/14,2,歯のみを有するもの,-,-,2B031
9,A01B1/16,1,雑草引抜き具,-,Ａ０１Ｍ２１／００は、化学的方法によるものが主に入る。,2B031
10,A01B1/18,2,火ばさみ状の道具,-,-,2B031
11,A01B1/20,1,異った種類の手道具の組み合わせ,-,-,2B031
12,A01B1/22,1,把手に刃または類似物を取りつけたもの；交換または調整できる刃［２００６．０１］,-,-,2B031
13,A01B1/24,1,牧草または芝生の処理のためのもの［２］,-,-,2B031
