No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,A01G7/00,0,植物生態一般［２００６．０１］,-,-,2B022
2,"A01G7/00,601",1,環境制御,-,-,2B022
3,"A01G7/00,601@A",0,光照射装置、補光装置,-,照明一般：F21,2B022
4,"A01G7/00,601@B",1,補光のための光反射装置（マルチフィルムは１３／００）,-,マルチフィルム：A01G13/00，302@Z,2B022
5,"A01G7/00,601@C",1,光質を制御するもの（被覆材によるものは１３／０２）,照明によるもののみ付与,被覆材で特定の波長をカットするもの：A01G13/02@E,2B022
6,"A01G7/00,601@Z",0,その他のもの,温度や湿度等の制御,炭酸ガス処理：A01G7/02、温室の環境制御：A01G9/24,2B022
7,"A01G7/00,602",1,根圏・地下構造の改良,-,-,2B022
8,"A01G7/00,602@A",0,空気を供給するためのもの（作業機はＡ０１Ｂ）,-,作業機：A01B45/02,2B022
9,"A01G7/00,602@B",0,排水を目的とするもの,-,灌水と排水を行うもの：A01G25/06，602、暗渠：E01B11/00,2B022
10,"A01G7/00,602@C",0,保水を目的とするもの,-,地中灌水：A01G25/06,2B022
11,"A01G7/00,602@D",0,根系を制御するもの（根を通さないシートなど）,根の成長を制限するもの,-,2B022
12,"A01G7/00,602@Z",0,その他のもの,-,土壌改良剤：C09K17/00,2B022
13,"A01G7/00,603",1,植物成育状況の観測・測定,-,"G06T7/00,640 リモートセンシングイメージの分析 G06T1/00,285 撮像イメ－ジ処理システムであって、リモ－トセンシングイメ－ジ処理 G06T11/60,300 地図の編集 G06T17/05 コンピュータグラフィックスのための３Ｄモデリングであって、地理的なモデル G06Q50/02 特定の業種に特に適合したシステムまたは方法であって、農業に関するもの（例：作物収量予測方法） G01N21/ 光学的手段，すなわち，赤外線，可視光線または紫外線を使用することによる材料の調査または分析",2B022
14,"A01G7/00,604",1,植物の特殊な処理（７／０２～７／０６に分類されないもの）,-,-,2B022
15,"A01G7/00,604@A",0,放射線処理,-,-,2B022
16,"A01G7/00,604@B",0,遠赤外線処理,培養液や水の処理にも付与,-,2B022
17,"A01G7/00,604@C",0,音波・振動による処理,-,水耕栽培：A01G31/00，620,2B022
18,"A01G7/00,604@D",0,接触・送風による刺激,主に徒長防止のためのもの,-,2B022
19,"A01G7/00,604@Z",0,その他のもの,目的や効果に特徴のある処理,薬剤自体：A01N,2B022
20,"A01G7/00,605",1,植物との共生または寄生関係,-,きのこの栽培：A01G1/04、微生物：C12N,2B022
21,"A01G7/00,605@A",0,ＶＡ菌根菌,嚢状体－樹枝状体（Vesicular arbuscular）菌根菌；Gigaspora属やGlomus属など,-,2B022
22,"A01G7/00,605@Z",0,その他のもの,-,拮抗微生物：A01N63/02@F,2B022
23,A01G7/02,1,炭酸ガスによる植物の処理［２００６．０１］,-,処理のための温室の構造：A01G9/18,2B022
24,A01G7/04,1,成長促進のための植物の電気または磁気処理［２００６．０１］,-,水耕栽培：A01G31/00，620,2B022
25,A01G7/04@A,0,電気処理,-,-,2B022
26,A01G7/04@B,0,磁気処理,培養液や水の処理にも付与,-,2B022
27,A01G7/04@Z,0,その他のもの,-,-,2B022
28,A01G7/06,1,成長樹木または成長植物の処理，例．木材の腐朽防止，花または木材の着色，植物の寿命を長持ちさせるもの［２００６．０１］,-,-,2B022
29,A01G7/06@A,0,化学物質の施用,施用方法に特徴のあるもの,薬剤自体：A01N,2B022
30,A01G7/06@B,1,処理剤の注入,-,根への注入：A01G29/00,2B022
31,A01G7/06@C,1,ジベレリン処理用具,-,-,2B022
32,A01G7/06@D,0,果面への模様の表示,-,-,2B022
33,A01G7/06@E,0,胡瓜等果菜の整形,-,-,2B022
34,A01G7/06@F,0,樹木の変形・整形〔例．しぼの形成〕,表面からの圧迫によるもの,-,2B022
35,A01G7/06@G,1,屈曲による変形・整形〔例．盆栽用樹木の整形〕,-,-,2B022
36,A01G7/06@Z,0,その他,-,-,2B022
