No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,A01M7/00,0,このサブクラスに属する目的に従った液体散布機の特殊な適用または配列,防除目的に使用する噴霧・散布はA01Mを付与。防除目的を主目的とせず、一般の噴霧・散布に適用できるものはB05Bが主分類。,耕耘具と非耕耘具との結合機械：A01B49/00、田植機：A01C11/02、施肥装置と結合した播種機：A01C7/06、肥料散布機：A01C15/00、散布装置一般：B05B。,2B121
2,A01M7/00@A,0,無気噴霧,非送風式と解す。高圧の液剤をノズルの小孔より高速で噴出、噴霧して散布するもの。霧粒の生成法：１．高速気流を利用して液体を小孔より噴出させ微粒化する。霧吹きの原理。空気噴射式（送風式にあらず）。２．液体を高圧力下に小孔より旋回流を与えつつ噴射させる。３．高圧下により小孔より噴射する液相互を衝突させ、または障害物に衝突飛散させて微粒化する。４．超音波発生振動子を利用して微粒化する。,-,2B121
3,A01M7/00@B,1,人力式噴霧機,人力で噴霧機を作動させるもの。,-,2B121
4,A01M7/00@C,1,動力式噴霧機,動力源（エンジン、モーター）を使用して噴霧機を作動させるもの。,-,2B121
5,A01M7/00@D,2,車載型噴霧機,動力車に噴霧機を載せて移動するもの。ほかに、装架式、半装架式、牽引式、自走式全てを含む。,-,2B121
6,A01M7/00@E,2,無人運転式噴霧機；センタ－ピボツト式散布機,無人運転式：無人で移動するもの。遠隔操作を含む。,-,2B121
7,A01M7/00@F,2,定置配管式散布機,-,-,2B121
8,A01M7/00@G,2,自動薬液希釈装置,ベンチュリ管様のものを用いて自動的に高濃度の薬液を水などに合流させ希釈するもの。,-,2B121
9,A01M7/00@H,2,空中〔例．航空機による〕薬液散布装置〔主体は，Ｂ６４Ｄ１／４６〕,-,"●ドローンを用いた薬剤散布 G05D1/00 陸用，水用，空中用，宇宙用運行体の位置，進路，高度または姿勢の制御，例．自動操縦（車輌の自動操向一般はG05D1/02が多い） G05D1/02@N 二次元の位置または進路の制御であって、農業用 B64C27/08 ヘリコプタであって、二つ以上の回転翼をもつもの B64C39/02 他に分類されない航空機であって、特殊用途を特徴とするもの B64D1/18 物品，液体等の飛行中の投下，発射，解放，受け入れであって、噴霧によるもの，例．殺虫剤 G08G5/00@ 航空機に対する交通制御システム B64U101:00 特定の用途または応用に特に適したＵＡＶ(無人航空機)であって、農作業または林業の作業のためのもの B05B12/08 放出を制御するための装置であって、放出される液体または他の流動性材料，包囲媒体または標的の状態に応答するもの B05B17/00 液体または他の流動性材料の霧化または噴霧装置 F04B49/06,311 ポンプ装置の制御または安全手段であって、液体用または液体および圧縮性流体用のもの",2B121
10,A01M7/00@J,2,噴霧竿；ノズル,-,-,2B121
11,A01M7/00@L,0,有気噴霧〔例．ミスト機〕〔煙霧機→１３／００〕,送風式と解す。無気または空気噴射によって作った液剤微粒子を強力な送風機を用いて、噴流により散布するもの。,煙霧機：A01M13/00。,2B121
12,A01M7/00@M,1,携帯型,人力で移動するもの。手持ち。背負い。肩掛け等。,-,2B121
13,A01M7/00@N,1,スピ－ドスプレヤ－,風量の大きい送風機の送風口に多数のノズルを配置して、大量の霧粒を送風空気で力強く吹き送って強力な散布を行ないながら、一定の速度で常に移動する自動式の送風散布機。例：トレーラ牽引型、搭載型、自走型。,-,2B121
14,A01M7/00@P,1,微量散布機,単位面積あたりの散布量で定義づけられる散布量が少ないもの。薬剤の希釈水量を少なくする（高濃度）とともに粒径を小さくする。散布量（ｌ／ｈａ）：　多量散布　＞５００　噴霧機（非送風）、準少量散布　１００～５００　ミスト機、過少量散布　６～３０　微量小量散布機、微量散布　＜６　微量少量散布機。粒径範囲（平均粒径）　μｍ：ミスト機　３０～１００（４０）、微量・少量散布機　４０～１４０（７０）、煙霧機　０．５～５０（４）。,-,2B121
15,A01M7/00@Q,1,噴管；ノズル,-,-,2B121
16,A01M7/00@S,0,エヤゾ－ル式散布,スプレー缶。耐圧缶に液化ガスと薬液を入れて密閉し、弁の開閉によってノスル孔から薬液を噴射するもの。,エアゾール容器：B65D83/14。,2B121
17,A01M7/00@T,0,無加圧散布，滴下,-,-,2B121
18,A01M7/00@U,0,発泡散布；発泡塗布,発泡液を噴出させるもの。,-,2B121
19,A01M7/00@V,0,薬液塗布具〔除草剤の塗布は，２１／０４，Ｄが優先〕,-,除草剤の塗布はA01M21/04@Dが優先,2B121
20,A01M7/00@W,0,薬液注入器〔生育植物体への注入→Ａ０１Ｇ，１３／００〕〔除草剤の注入は，２１／０４Ｃを参照〕,加圧または無加圧による注入。,生育植物体への注入：A01G7/06@B、除草剤の注入：A01M21/04@C,2B121
21,A01M7/00@X,0,ホ－ス巻取器；ホ－ス支持器,-,-,2B121
22,A01M7/00@Y,0,付属具,-,-,2B121
23,A01M7/00@Z,0,その他のもの,-,-,2B121
