No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,B64C13/00,0,飛行操縦翼面，揚力増加フラップ，空気制動装置，またはスポイラを作動するための操縦系統または伝達系統,-,-,3D140
2,B64C13/00@A,0,ＣＣＶ機に使用されるもの,-,-,3D140
3,B64C13/00@B,0,故障検出；故障対策,-,-,3D140
4,B64C13/00@C,1,フラツプの非対象動作に対するもの,-,-,3D140
5,B64C13/00@Z,0,その他,-,-,3D140
6,B64C13/02,1,入力装置,-,-,3D140
7,B64C13/04,2,人為的に作動されるもの,-,-,3D140
8,B64C13/06,3,適当な一人の操縦者が操作するように調整できるもの,-,-,3D140
9,B64C13/08,3,中立位置へのトリム調整,-,-,3D140
10,B64C13/10,3,警報装置を有しているもの,-,-,3D140
11,B64C13/12,3,複操縦装置,-,-,3D140
12,B64C13/14,3,鎖錠できるもの［２００６．０１］,-,-,3D140
13,B64C13/16,2,自動的に作動されるもの，例．突風検出器に応答するもの,-,-,3D140
14,B64C13/16@A,0,運動荷重または突風荷重を軽減するもの；機体の振動またはフラツタ－を防止するもの,-,-,3D140
15,B64C13/16@Z,0,その他のもの,-,-,3D140
16,B64C13/18,3,自動操縦装置を使用するもの［２００６．０１］,-,-,3D140
17,B64C13/18@A,0,ミサイルに用いられるもの〔巡航ミサイルに用いられるものＣ〕,-,ミサイルF41,3D140
18,B64C13/18@B,1,ホ－ミング装置，例．赤外線ホ－ミング装置，を有するもの,-,ミサイルF41,3D140
19,B64C13/18@C,0,飛行機に用いられるもの,-,-,3D140
20,B64C13/18@D,1,航法装置を有するもの,-,-,3D140
21,B64C13/18@E,1,横方向の自動操縦をするもの〔Ｄが優先〕,-,-,3D140
22,B64C13/18@F,1,縦方向の自動操縦をするもの,-,-,3D140
23,B64C13/18@G,2,上昇または降下の自動操縦をするもの,-,-,3D140
24,B64C13/18@H,2,高度保持するもの,-,-,3D140
25,B64C13/18@Z,0,その他のもの,-,-,3D140
26,B64C13/20,3,無線信号を使用するもの,-,-,3D140
27,B64C13/20@A,0,ミサイルに用いられるもの，例．司令誘導装置，電波ホ－ミング装置〔Ｃが優先〕,-,-,3D140
28,B64C13/20@B,0,衝突防止装置を有するもの,-,-,3D140
29,B64C13/20@C,0,航法装置を有するもの,-,-,3D140
30,B64C13/20@D,0,着陸時に使用するもの,-,-,3D140
31,B64C13/20@Z,0,その他のもの,主に無人機の操縦を分類する。,-,3D140
32,B64C13/22,3,即座に手動操作に切換えできるもの,-,-,3D140
33,B64C13/24,1,伝達装置,-,-,3D140
34,B64C13/26,2,伝達力の増幅を伴わないものまたは伝達力の増幅が適切でないもの,-,-,3D140
35,B64C13/28,3,機械的なもの,-,-,3D140
36,B64C13/30,4,索，鎖，または連結棒機構を使用するもの,-,-,3D140
37,B64C13/30@A,0,索または鎖を使用するもの,-,-,3D140
38,B64C13/30@B,0,連結棒機構を使用するもの,-,-,3D140
39,B64C13/30@Z,0,その他のもの,-,-,3D140
40,B64C13/32,4,カム機構を使用するもの,-,-,3D140
41,B64C13/34,4,歯車機構を使用するもの,-,-,3D140
42,B64C13/36,3,流体によるもの,-,-,3D140
43,B64C13/38,2,伝達力の増幅を伴うもの,-,-,3D140
44,B64C13/40,3,流体圧力を使用するもの,-,-,3D140
45,B64C13/42,4,二重装置または予備装置をもつもの,-,-,3D140
46,B64C13/44,4,手動操縦の無力化；不作動位置への自動切換装置をもつもの,-,-,3D140
47,B64C13/46,4,操縦感覚付与装置,-,-,3D140
48,B64C13/48,4,ガス化された流体を特徴とするもの,-,-,3D140
49,B64C13/50,3,電気的エネルギーを使用するもの,-,-,3D140
