No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G01C21/00,0,航行；グループＧ０１Ｃ１／００～Ｇ０１Ｃ１９／００に分類されない航行装置（乗物による対地移動距離の測定Ｇ０１Ｃ２２／００；乗物の位置，進路，高度，または姿勢の制御Ｇ０５Ｄ１／００；車両にナビゲーション指示を伝えることを含む路上乗物の交通制御システムのためのものＧ０８Ｇ１／０９６８）,航行とは、地上の乗物，船舶，航空機および宇宙船の位置およびコースの決定を意味する,"G01S（無線航行方式）G08G（交通制御システム）G05D（運行体の位置，進路，姿勢の制御）B60R（車両）B63B（船舶）B64D（航空機）,G06F13/00,510@G(端末の地理的位置に応じたサーバ／アクセスポイント選択、地域情報配信) ,H04B1/16@M(自動起動停止〔識別信号を受けて動作するもの；例．ＲＤＳ受信機緊急放送，交通情報〕),H04B7/26@H(自動車無線)",2F129
2,G01C21/02,1,天文学的手段によるもの（Ｇ０１Ｃ２１／２４，Ｇ０１Ｃ２１／２６が優先）［１，７］,天文航行方式,G01C1/00（経緯儀，六分儀）,2F129
3,G01C21/04,1,地球上の手段によるもの（Ｇ０１Ｃ２１／２４，Ｇ０１Ｃ２１／２６が優先）［１，７］,地文航行方式,B63B51/00（航路指示）,2F129
4,G01C21/06,2,ドリフト角の測定を含むもの；ドリフトのための補正を含むもの,-,-,2F129
5,G01C21/08,2,地球磁場の使用を含むもの,-,-,2F129
6,G01C21/10,1,速度または加速度の測定を使用するもの（Ｇ０１Ｃ２１／２４，Ｇ０１Ｃ２１／２６が優先）［１，７］,-,G01P（速度，加速度の測定）,2F129
7,G01C21/12,2,航行体上で実施するもの；推測航法,推測航行方式,-,2F129
8,G01C21/14,3,航行体が通過する経路を記録することによるもの（Ｇ０１Ｃ２１／１６が優先）,-,-,2F129
9,G01C21/16,3,加速度または速度の積分によるもの，すなわち慣性航行,慣性航行方式,G01C21/14，G01P7/00,2F129
10,G01C21/18,4,安定化プラットホーム，例．ジャイロスコープによるもの,-,G01C19/00（ジャイロスコープ）,2F129
11,G01C21/20,1,航行の計算を行う機器（Ｇ０１Ｃ２１／２４，Ｇ０１Ｃ２１／２６が優先）［１，７］,-,G06F（デジタル計算機），G06G（アナログ計算機）,2F129
12,G01C21/22,2,海図板,-,B43L（製図具）,2F129
13,G01C21/24,1,宇宙航行に特に適合するもの,-,G01C21/02，G01C21/10，B64G（宇宙航行体），G01C21/04，G01C21/20,2F129
14,G01C21/26,1,道路網における航行に特に適合したもの［７］,-,-,2F129
15,G01C21/26@A,0,陸上車両のナビゲ－ション（自動走行車両Ｂ６０Ｗ６０；交通制御システムＧ０８Ｇ）,車両用に利用可能な測定を含む。,-,2F129
16,G01C21/26@B,1,地図上に位置を表示（地図一般Ｇ０９Ｂ）,現在位置を一般的な地図上に位置を表示させるものは、他に特徴がないなら付与。,"スクロール 5C082:G09G5/34 改頁・画面切替機能に特徴の有るもの5C082：G09G5/00,530@T グラフィックパターンの表示に特徴があるもの5C082：G09G5/36",2F129
17,G01C21/26@C,2,付加情報の表示,位置に関する情報以外を、地図表示をするナビゲーションシステムで表示するもの。地図表示がないものは、他の情報を表示しても含めない。,-,2F129
18,G01C21/26@P,0,歩行者のナビゲーション,歩行者用のナビであれば付与。データの修正、マップマッチング、地図データの構造、経路探索、入出力装置等に特徴があれば、Ｇ０１Ｃ２１／２８～２１／３６も付与する。より特徴のある方を主とする。,-,2F129
19,G01C21/26@Z,0,その他のもの,-,-,2F129
20,G01C21/28,2,航行計器からのデータを修正するもの［７］,ハイブリッド航法などを含む。位置の補正のために行うセンサの補正も含む。,-,2F129
21,G01C21/30,3,マップマッチングまたは等高線との一致［７］,地図データを利用した補正でもセンサの補正は含まない,-,2F129
22,G01C21/32,4,地図のデータの構造または書式［７］,ノードとリンクの接続関係以外の地図データに特徴があるもの,-,2F129
23,G01C21/34,2,経路探索；経路案内［７］,探索と案内を別にしていない。目的地に関する付加情報はＧ０１Ｃ２１／００＠Ｃよりも優先されている,-,2F129
24,G01C21/36,3,車載コンピュータの入出力装置［７］,出力と入力を別にしていない。カーナビとドライバーの間の情報伝達をいかにしてスムーズにするかを目的とするもの。ただし経路探索と経路案内に関してのみ,"ナビの音声認識G10L15/00,200@Q(5D015)",2F129
