No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G01N33/00,0,グループＧ０１Ｎ１／００～Ｇ０１Ｎ３１／００に包含されない，特有な方法による材料の調査または分析［２００６．０１］,-,-,2G055
2,G01N33/00@A,0,固体材料の分析,-,-,2G055
3,G01N33/00@B,0,液体材料の分析,-,-,2G055
4,G01N33/00@C,0,気体材料の分析,-,-,2G055
5,G01N33/00@D,0,物質材料の分析,-,-,2G055
6,G01N33/00@Z,0,その他のもの,-,-,2G055
7,G01N33/02,1,食品［２００６．０１］,-,-,2G055
8,G01N33/03,2,食用油または食用脂肪［２００６．０１］,-,-,2G055
9,G01N33/04,2,酪農品［２００６．０１］,牛乳等の試験,-,2G055
10,G01N33/06,3,脂肪含量の定量，例．プチロメータ［２００６．０１］,-,-,2G055
11,G01N33/08,2,卵，例．光線で良否を検ずるもの［２００６．０１］,-,G01N/21（光学的手段による材料の調査・分析）A01K43/00,2G055
12,G01N33/10,2,でんぷん含有物質，例．生地［２００６．０１］,米、麦などの品質検査。穀粒、加工品も含む。,G01N/21（光学的手段による材料の調査・分析）,2G055
13,G01N33/12,2,肉；魚［２００６．０１］,鮮度測定,-,2G055
14,G01N33/14,2,飲料［２００６．０１］,-,-,2G055
15,G01N33/15,1,医薬［２００６．０１］,-,-,2G055
16,G01N33/15@A,0,錠剤等の崩壊試験，溶出試験,錠剤の溶解性、崩解性の試験,-,2G055
17,G01N33/15@B,0,抗生物質の試験,抗生物質の薬効性の評価ほか,-,2G055
18,G01N33/15@C,0,農薬の試験,-,-,2G055
19,G01N33/15@Z,0,その他のもの,-,-,2G055
20,G01N33/18,1,水［２００６．０１］,成分分析はＧ０１Ｎ３１／００に分類し総合的性状分析であって、Ｇ０１Ｎ１／００～３１／００に分類されないもの。,G01N21/00（光学的汚泥測定） G01D11/30（計器の支持装置） G01N27/48（電気化学的測定） C12Q（微生物を含む測定）,2G055
21,G01N33/18@A,0,懸濁物質に関するもの,-,-,2G055
22,G01N33/18@B,0,有機不純物に関するもの,-,-,2G055
23,G01N33/18@C,0,電解質に関するもの,-,-,2G055
24,G01N33/18@D,0,溶存酸素に関するもの,-,-,2G055
25,G01N33/18@E,0,毒性試験，例．魚類を用いるもの,魚毒性の試験 水棲動物の挙動の観察,-,2G055
26,G01N33/18@F,0,微生物が関与するもの,-,-,2G055
27,G01N33/18@Z,0,その他のもの,-,-,2G055
28,"G01N33/18,101",2,概括的調査,-,-,2G055
29,"G01N33/18,102",2,酸素要求量，例．オゾン消費量,-,-,2G055
30,"G01N33/18,103",3,全酸素要求量［ＴＯＤ］,-,-,2G055
31,"G01N33/18,104",3,化学的酸素要求量［ＣＯＤ］,-,-,2G055
32,"G01N33/18,105",3,生化学的酸素要求量［ＢＯＤ］,-,-,2G055
33,"G01N33/18,106",2,機器の構造によって特徴付けられるもの,-,G01N21/00（光学的汚泥測定） G01D11/30（計器の支持装置） G01N27/48（電気化学的測定） C12Q（微生物を含む測定） G01N1/00（液体試料彩取） C21B7/24（溶鉱炉における検出具） C21C5（サブランスとの関連） G01K7，１３／１２（温度計との関連）,2G055
34,"G01N33/18,106@A",0,採水装置,-,-,2G055
35,"G01N33/18,106@B",0,前処理装置,-,-,2G055
36,"G01N33/18,106@C",0,検出部の支持,-,-,2G055
37,"G01N33/18,106@D",0,水質検査用ブイ,-,-,2G055
38,"G01N33/18,106@E",0,検出部の汚染防止,-,-,2G055
39,"G01N33/18,106@Z",0,その他のもの,-,-,2G055
40,G01N33/20,1,金属［２０１９．０１］,-,鉱石の還元試験→G01N31/12 溶融金属の冷却曲線による分析→G01N25/02 連鋳と密接に関連するもの→B22D11/00,2G055
41,"G01N33/20,100",2,固体状の金属分析（Ｇ０１Ｎ３３／２０２優先）,-,-,2G055
42,G01N33/202,2,その成分［２０１９．０１］,-,-,2G055
43,G01N33/2022,3,非金属成分［２０１９．０１］,-,-,2G055
44,G01N33/2025,4,気体成分［２０１９．０１］,-,-,2G055
45,G01N33/2028,3,金属成分［２０１９．０１］,-,-,2G055
46,G01N33/204,2,その構造，例．結晶構造［２０１９．０１］,-,-,2G055
47,G01N33/2045,3,欠陥［２０１９．０１］,-,-,2G055
48,"G01N33/2045,100",4,腐食，劣化,-,-,2G055
49,G01N33/205,2,液状のもの，例．溶融金属［２０１９．０１］,-,-,2G055
50,"G01N33/205,100",3,溶鋼,-,-,2G055
51,"G01N33/205,110",4,溶鋼試料の採取,-,-,2G055
52,"G01N33/205,111",5,採取容器,-,-,2G055
53,"G01N33/205,112",5,サブランスの着脱，昇降，搬送,-,-,2G055
54,"G01N33/205,200",3,液体金属，例．水銀,-,-,2G055
55,G01N33/207,2,溶接部または半田付け部；半田付け性［２０１９．０１］,-,-,2G055
56,G01N33/208,2,コーティング，例．メッキ［２０１９．０１］,-,-,2G055
57,G01N33/22,1,燃料；爆発物［２００６．０１］,-,-,2G055
58,G01N33/22@A,0,固体燃料,-,C06B火薬または発熱性組成物 G21C3/00核燃料 C10B,2G055
59,G01N33/22@B,0,液体燃料,-,C10G石油,2G055
60,G01N33/22@C,1,化学的方法によるもの,-,-,2G055
61,G01N33/22@D,2,化学的指示薬によるもの,-,G01N31,2G055
62,G01N33/22@E,0,気体燃料,-,-,2G055
63,G01N33/22@Z,0,その他のもの,-,-,2G055
64,G01N33/24,1,地かく構成材料（Ｇ０１Ｎ３３／４２が優先）［２００６．０１］,-,E02D1/00～E02D1/02（基礎地盤の現場での調査）,2G055
65,G01N33/24@A,0,鉱石，スラグ,-,-,2G055
66,G01N33/24@B,0,土壌，砂，堆肥,-,A01C施肥,2G055
67,G01N33/24@C,1,物理的性質の試験,-,-,2G055
68,G01N33/24@D,1,化学的又は電気的性質の試験,-,G01N21G01N27,2G055
69,G01N33/24@E,2,水分の測定,-,-,2G055
70,G01N33/24@Z,0,その他のもの,-,-,2G055
71,G01N33/26,1,油類，粘性液体；塗料；インキ（Ｇ０１Ｎ３３／２２が優先）［２００６．０１］,-,-,2G055
72,G01N33/28,2,油類（食用油または食用脂肪Ｇ０１Ｎ３３／０３）［２００６．０１］,-,-,2G055
73,G01N33/30,3,潤滑特性用［２００６．０１］,-,-,2G055
74,G01N33/32,2,塗料；インキ［２００６．０１］,-,-,2G055
75,G01N33/34,1,紙［２００６．０１］,-,4L055「紙（４）」の観点ＤＡ,2G055
76,G01N33/36,1,織物［２００６．０１］,繊維材料の検査はD06H 物理的性質の試験はＧ０１Ｎ（検査とは試験結果に基いて良否、品質も判断すること）,-,2G055
77,G01N33/36@A,0,布状のもの,-,-,2G055
78,G01N33/36@B,0,繊維状のもの,-,-,2G055
79,G01N33/36@Z,0,その他のもの,-,-,2G055
80,G01N33/38,1,コンクリート；セラミック；ガラス；レンガ［２００６．０１］,-,G01N33/42 C04Bコンクリートセラミック,2G055
81,G01N33/40,1,研摩材料［２００６．０１］,-,-,2G055
82,G01N33/42,1,舗装材料（Ｇ０１Ｎ３３／３８が優先）［２００６．０１］,アスファルト,G01N33/24,2G055
83,G01N33/44,1,樹脂；プラスチック；ゴム；皮［２００６．０１］,-,G01N33/48,2G055
84,G01N33/46,1,木［２００６．０１］,木材の腐朽度検査,G01N33/48,2G055
85,G01N33/48,1,生物学的材料，例．血液，尿（，Ｇ０１Ｎ３３／２６，Ｇ０１Ｎ３３／４４，Ｇ０１Ｎ３３／４６が優先）；血球計（表面を走査することによってその表面に分布されている血球を計数するものＧ０６Ｍ１１／０２）［２００６．０１］,-,A61B（診断） G01N1/00（サンプリング） G01N21/00（光学的調査分析） G01N27/26（電気化学的調査分析） G01N35/00（自動分析） G06K（パターン認識） C12Q（酵素又は微生物による分析） G01N30/00（クロマトグラフィーによる分析） A61K35/14（血液製剤） A61K35/26（リンパ球製剤） B04B（遠心分離機） A61K35/16（血清製剤） B04B5/00（その他の遠心分離機） G06K（パターン認識）,2G045
86,G01N33/48@A,0,前処理,-,-,2G045
87,G01N33/48@B,1,血液の前処理,-,-,2G045
88,G01N33/48@C,2,遠心分離の利用,-,B01J4供給装置,2G045
89,G01N33/48@D,2,血液分離剤,-,-,2G045
90,G01N33/48@H,2,血清分離一般,血漿分離も含む,-,2G045
91,G01N33/48@J,2,遠心管,-,A61B5/14血液採取,2G045
92,G01N33/48@K,2,血液凝固剤・抗凝固剤,-,-,2G045
93,G01N33/48@E,1,生検用容器,-,-,2G045
94,G01N33/48@F,2,検尿用,-,-,2G045
95,G01N33/48@G,2,検便用,-,-,2G045
96,G01N33/48@L,2,検喀痰用,-,-,2G045
97,G01N33/48@M,0,細胞識別,-,-,2G045
98,G01N33/48@N,0,動植物試験,-,-,2G045
99,G01N33/48@P,0,細胞染色，調製一般,-,-,2G045
100,G01N33/48@Q,1,細胞塗布,-,-,2G045
101,G01N33/48@R,1,細胞包埋，細胞冷凍,-,-,2G045
