No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G01S19/00,0,衛星電波ビーコン測位システム；当該システムから送信される信号を用いた，位置，速度または姿勢の決定［２０１０．０１］,絶対距離の測定をしていない衛星測位システムも含む。 G01S 19/00 は、ＮＮＳＳや通信衛星等のタイムスタンプされていない信号を用いる測位システムに付与する。,-,5J062
2,G01S19/01,1,タイムスタンプメッセージを送信する衛星電波ビーコン測位システム，例．ＧＰＳ　［Ｇｌｏｂａｌ　Ｐｏｓｉｔｉｏｎｉｎｇ　Ｓｙｓｔｅｍ］，　ＧＬＯＮＡＳＳ［Ｇｌｏｂａｌ　Ｏｒｂｉｔｉｎｇ　Ｎａｖｉｇａｔｉｏｎ　Ｓａｔｅｌｌｉｔｅ　Ｓｙｓｔｅｍ］　ｏｒ　ＧＡＬＩＬＥＯ［２０１０．０１］,-,-,5J062
3,G01S19/02,2,宇宙セグメントまたは地上コントロールセグメントの細部［２０１０．０１］,-,-,5J062
4,G01S19/03,2,協働要素；異なる協働要素間または協働要素と受信機との間の相互作用または通信［２０１０．０１］,-,-,5J062
5,G01S19/04,3,キャリア位相データを提供するもの［２０１０．０１］,-,-,5J062
6,G01S19/05,3,補助情報を提供するもの［２０１０．０１］,-,-,5J062
7,G01S19/06,4,補助情報として，もしくは，補助情報生成時に，受信機の初期推定位置を用いるもの［２０１０．０１］,-,-,5J062
8,G01S19/07,3,測定された位置データを補正する情報を提供するもの，例．ＤＧＰＳ　［Ｄｉｆｆｅｒｅｎｔｉａｌ　ＧＰＳ］，電離層補正［２０１０．０１］,-,-,5J062
9,G01S19/08,3,インテグリティ情報，例．衛星の健全性，エフェメリスデータの品質，を提供するもの［２０１０．０１］,-,-,5J062
10,G01S19/09,3,通常は受信機で行われる処理機能を提供するもの［２０１０．０１］,-,-,5J062
11,G01S19/10,3,そのために特別に適合された補助的な測位信号を提供するもの［２０１０．０１］,-,-,5J062
12,G01S19/11,4,協働要素が擬似衛星，または衛星電波ビーコン測位システム信号のリピーターであるもの［２０１０．０１］,-,-,5J062
13,G01S19/12,4,協働要素が電話通信基地局であるもの［２０１０．０１］,-,H04W,5J062
14,G01S19/13,2,受信機［２０１０．０１］,-,-,5J062
15,G01S19/14,3,特定の応用に特に適合した受信機［２０１０．０１］,-,-,5J062
16,G01S19/15,4,航空機着陸システム用［２０１０．０１］,-,-,5J062
17,G01S19/16,4,盗難誘拐対策用［２０１０．０１］,-,-,5J062
18,G01S19/17,4,緊急時用［２０１０．０１］,-,-,5J062
19,G01S19/18,4,軍事用［２０１０．０１］,-,-,5J062
20,G01S19/19,4,スポーツ用［２０１０．０１］,-,-,5J062
