No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G05D1/00,0,陸用，水用，空中用または宇宙用運行体の位置，進路，高度または姿勢の制御，例．自動操縦（自律的な道路走行用車両に特に適合する運転制御システムＢ６０Ｗ６０／００）［２０２４．０１］,"【付与】本FIは付与せず，下位のFIを付与。 FIで本グループには，原則として無人運行体の位置・進路等を制御する技術が分類される。 (注)G05D1/20,40,60,80は多重分類とする(IPC指針105等参照)。 水用運行体とは水上運行体だけでなく水中運行体を含む。 制御の詳細（調整系に一般的に応用できる特性，例．ハンチング防止装置の他、フィードバック等）については、G05Bに副分類を付与。 【定義】運行体全体としての位置、針路、高度、深度または姿勢制御のみに付与。例えば、ロボットアーム、クレーン、ジンバルカメラ、その他の種類のペイロードのような、運行体の要素の内部調整は包含しない。",B60W60/00; 交通環境に特化した制御:G08G; 【応用】 無限軌道車両のシャーシ:B62D55/116; 【情報】 A01D34/;A47L9/28;B25J9/;B60K28/;B60K31/;B64F;B64U; B66F9/;F41G7/;G01C21/;G05B19/418;G05D3/;G05D13/; G01S;G06N20/;G06Q10/047;G06Q10/08;G08G,5H301
2,G05D1/20,1,制御系の入力［２０２４．０１］,【付与】このFIは付与せず、下位のFIを付与。 【定義】運行体の位置、経路、高度、深度または姿勢を制御するために制御システムによって使用される入力。位置、経路、高度または姿勢制御の特定の目的に使用される、環境に対する運行体の位置または姿勢を決定するためのオンボードおよびオフボードの装置と同様に、オフボードの外部コンピュータシステムからの位置、経路、高度または姿勢指令入力から構成される。さらに、この下位分類はオフボードとオンボードのシステム間の制御入力の割り当てを包含する。,【情報】 G01C5/;G01C19/;G01C21/;G01C22/;G01C23/;G01S1/;G01S3/; G01S5/G01S7/G01S11/;G01S13/;G01S15/;G01S17/;G01S19/; G05G;G06F3/;G06T7/:G08C17/;G06V20/;H04B;H04N5/:H04W4/40,5H301
3,G05D1/22,2,コマンド，すなわち指令入力装置［２０２４．０１］,-,"地理情報データベースからの情報検索:G06F16/29,G06F16/787; 電子化地図からの検索G09B29/00@A; 乗物でない機械の状態または稼働を登録または表示:G07C3/; 人へのナビ，無線設備による案内サービス:H04W4/024",5H301
4,G05D1/221,3,遠隔制御装置［２０２４．０１］,リモコンで運行体の移動制御を行うもの。 画面で選択した指令や端末に送信した位置指令、計算機（ジョイスティック等）が自動で生成する指令などを、動く量を示す信号に変換し、動作の指令を生成して遠隔操作することに特徴があるもの。人が、ハンドル、ジョイスティック等を動かした量に直接応じて操作することは、無人の観点において遠隔操作に特徴があるものとしない。 参考Fターム(以下同様)5H301DD06,"選択式に呼び出すリモコン自体:H04Q9/、選択信号と制御，確認または測定値信号とを伝送する方式に関するもの:H04Q9/00,311; 測定値，制御信号の伝送方式:G08C;光波を使用する信号伝送方式:G08C23/04; 駐車出庫時の自動運転:B60W30/06; 【応用】 走行玩具の操行:A63H17/36; 玩具の電気的遠隔装置:A63H30/02",5H301
5,G05D1/222,4,人間により操作されるもの［２０２４．０１］,-,-,5H301
6,G05D1/223,5,遠隔制御装置における指令入力装置，例．ジョイスティック，すなわち操縦桿またはタッチスクリーン［２０２４．０１］,-,-,5H301
7,G05D1/224,5,遠隔制御装置における出力装置，例．ディスプレイ，すなわち表示装置，ハプティクス，すなわち触覚による装置またはスピーカ［２０２４．０１］,-,-,5H301
8,G05D1/225,4,運行体に搭載されていないコンピュータ，すなわち計算機により操作されるもの［２０２４．０１］,例１：複数台無人車の配車・割付。 例２：中央制御局による複数台無人車の走行管理。 5H301KK00,工作機械間のワーク搬送用無人車の走行制御:B23Q41/; 工場内の複数の運行体の管理:G05B19/418; 無線通信ネットワークに特に適合する物品の管理サービス:H04W4/35、 乗物の無線通信ネットワークサービス:H04W4/40、 乗物とインフラストラクチャの間の通信サービス:H04W4/44; 端末の位置に適したネットワークサービス:H04L67/52 【応用】 コンベアの搬送制御:B65G43/; クレーン:B66C13/18,5H301
9,G05D1/226,4,遠隔制御装置との通信回線［２０２４．０１］,-,運用状態を持続させるための技術:H04W24/04,5H301
10,G05D1/227,4,遠隔制御とオンボード制御，すなわち運行体での制御との引き継ぎ，遠隔制御装置間の引き継ぎ［２０２４．０１］,-,G05D1/80,5H301
