No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G06F9/00,0,プログラム制御のための装置，例．制御装置（周辺装置のためのプログラム制御Ｇ０６Ｆ１３／１０）［２０１８．０１］,電子計算機の各部分の動作を制御するための装置。例えば、コンピュータのプロセッサが備える演算装置やレジスタの動作を制御するものを含む。本分類は運用していない。より下位の適切な分類を付与する。 　記憶装置の読み書きや入出力を制御するものはG06F3、G06F12、G06F13、G06F16などへ。また、シーケンス制御などはG05Bへ。,周辺装置のためのプログラム制御G06F13/10 プログラム制御系G05B19/00,5B070
2,G06F9/02,1,ワイヤー接続，例．プラグボード，を用いるもの［２００６．０１］,ワイヤー接続でプログラムするもの。他テーマの分類の付与が優先。新規付与はしていない。 【キーワード】 プラグボード、ピンボード,G05B19/08 G06F15/08 G06G7/06 H01R11/01@C,5B070
3,G06F9/04,1,プログラム命令のみを保持する記録担体を用いるもの（Ｇ０６Ｆ９／０６が優先）［２００６．０１］,プログラム命令のみを保持する記録担体を用いるコンピュータに関する。 　現在では、コンピュータ内部にプログラムを受け取って保持する記憶装置を備えるものが一般的であるので、新規付与はしていない。 　また、記録担体自体の構成や機能や適用分野などが特定されているものは、対応する他の分類の付与を検討する。,"G05B19/14 G06F3/06 G06F12/02,520@A G06F15/04",5B070
4,G06F9/06,1,プログラム記憶方式を用いるもの，すなわちプログラムを受取りまたは保持するために処理装置の内部記憶装置を用いるもの［２００６．０１］,内部記憶装置に記憶されたプログラムによって動作するコンピュータに関する。本分類は運用していない。より下位の適切な分類を付与する。,マイクロプログラム装置G06F9/22 機械語命令を実行するための装置G06F9/30 特定のプログラムを実行するための装置G06F9/44 マルチプログラミング装置G06F9/46,5B070
5,G06F9/22,2,マイクロ制御またはマイクロプログラム装置［２００６．０１］,主メモリから読み出された１つのマクロ命令（機械語命令）に対応するマイクロプログラムを制御メモリから読み出して計算機各部に逐次制御信号として与えることにより、マクロ命令により指示された所定の処理を実行する技術。,-,5B105
6,"G06F9/22,310",3,制御記憶装置の構成,-,-,5B105
7,"G06F9/22,310@A",0,２レベルマイクロプログラミング,制御メモリ（ＣＳ）より更に下位のレベルのメモリ（ナノ、ピコストア）を設け、１つのマイクロ命令を１つ以上のナノ命令により実行するもの。 【キーワード】  ナノ命令、ピコ命令,-,5B105
8,"G06F9/22,310@B",0,主メモリの一部を制御記憶領域とするもの,-,-,5B105
9,"G06F9/22,310@C",0,主メモリの一部と制御メモリを制御記憶領域とするもの,-,-,5B105
10,"G06F9/22,310@D",0,仮想制御メモリ,主メモリに適用されている仮想記憶方式を制御メモリに適用したもの。,G06F12/08,5B105
