No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G06Q10/00,0,管理；経営［２０２６．０１］,"【ＩＰＣタイトル】Administration; Management [2023.01] 組織または従業員の管理に特に適合した情報通信技術(ICT)。例えば、定型事項を含む文書(例．契約書等)の作成を支援するための、コンピュータを用いた事務処理の自動化、予約管理(例．ホテル, イベント, 旅行)、ビジネスにおける時間管理(例．労働時間または有償請求可能な作業時間の監視)、複数の予約の調整(例．往復航空券)、企業内部の時間管理(例．有償請求可能な作業時間の監視, 従業員の勤怠管理)、企業内部のプロジェクト管理(例．ワークフロー)、事業または財務目的での最適化または予測であって数学的または統計学的なモデルまたは手法を用いるもの(例．線形計画法)、資材管理(例．注文処理、在庫管理、部品表)。",G06F21/00 不正行為から計算機、その部品、プログラムまたはデータを保護するためのセキュリティ配置 H04L9/00 秘密通信または安全な通信のための配置；ネットワークセキュリティプロトコル H04L41/00 データ交換ネットワークの保守、運用または管理のための配置(例.パケット交換ネットワーク) G05B19/00 プログラム制御系 G06F17/10 複合した数学演算に特に適合するデータ処理 G06F30/20 CAD；設計の最適化、検証またはシミュレーション G06F40/10 テキスト処理G16Y IoT,5L010
2,G06Q10/02,1,予約，例．チケット，サービスまたはイベントのためのもの［２０１２．０１］,"【ＩＰＣタイトル】Reservations, e.g. for tickets, services or events [2012.01] 予約の記録に関するコンピュータ化された記録管理システムに特に適合した情報通信技術(ICT)。例えば、航空機，列車，コンサート，チケット，サービス，イベント，旅行，ホテル，レストランの予約、企業内部における予約の管理、複数の予約の調整(例．往復航空券)。このグループは「予約」それ自体（例．予約の管理）を対象とする。レンタル業及びリース業におけるトランザクションに関するものについては、G06Q30/0645を参照。","G06Q20/00 支払アーキテクチャ、スキームまたはプロトコル G06F16/00 情報検索；そのためのデータベース構造；そのためのファイルシステム構造 G06F40/10, G06F40/174 テキスト処理；書式充填 G06Q50/12 ホテルまたはレストラン G08B5/22 可視信号装置、座席占有状態の遠隔表示；電気的伝送手段を用いるもの",5L010
3,"G06Q10/02,300",2,複数の予約の調整，例．複数の旅行要素，宿泊施設と組み合わせられた交通,"１つの旅程における複数の異なる予約を調整する処理システム。ここでいう""複数の異なる予約""は複数の類似した予約を含むものではない。例．複数の席の予約。",-,5L010
4,G06Q10/04,1,管理または経営目的に特に適した予測または最適化，例．線形計画法または板取り問題（商業活動のためのマーケット予測または予報Ｇ０６Ｑ３０／０２０２）［２０２３．０１］,"【ＩＰＣタイトル】Forecasting or optimisation specially adapted for administrative or management purposes, e.g. linear programming or ""cutting stock problem"" (market predictions or forecasting for commercial activities G06Q30/0202) [2023.01] 予測または最適化に特に適合した情報通信技術(ICT)。以下の主題が包含されるが、このリストがすべてを網羅しているわけではない。例.線形計画法，巡回セールスマン問題，板取問題、数学的／統計学的モデルまたは最適化問題の理論的解法に基づくアルゴリズムによって実現される企業環境における最適化または予測。また、データファームにおけるサーバ配置の最適化や燃費向上のための最適化など、特定の技術分野における最適化は、通常はこのグループには含まれておらず、当該特定の技術分野に存在する。G06Q10/04が包含する数学的手法による最適化または予測は、経営／事業の観点とその応用に特に適合する目的を有するものである。G06F17/11は、一般的な数学上の最適化問題を解くための数学的手法を包含する。同様に、G06F17/18は、予測／外挿目的で時列データを分析するための数学的手法を包含する。",G06Q30/0202 マーケット予測または予報 G06Q30/0283 価格の推定または決定 G06Q40/00 金融 {G06Q40/00 - } H02J {H02J1/00 - } 電力宮殿または電力配電のための回路装置または方式／電力エネルギーを蓄積するための方式 G01W1/10 天気情報の予報装置,5L010
5,"G06Q10/04,300",2,二次元位置の最適化，例．衣服または木の切断,最適配置を見つけるためのもの。例．紙や金属板の切断、皮からの靴の切取。,-,5L010
6,G06Q10/047,2,順路または経路の最適化，例．巡回セールスマン問題［２０２３．０１］,"【ＩＰＣタイトル】Optimisation of routes or paths, e.g. travelling salesman problem [2023.01] 特定の制限下において最適経路を見つけるためのもの。例．航空スケジューリング。図式における経路探索アルゴリズム。例．A*アルゴリズム。",G01C21/34 経路探索；経路案内,5L010
7,G06Q10/06,1,資源，ワークフロー，人員またはプロジェクト管理；企業または組織計画；企業または組織のモデル化［２０２３．０１］,"【ＩＰＣタイトル】Resources, workflows, human or project management; Enterprise or organisation planning; Enterprise or organisation modelling [2023.01] 資源、ワークフロー、人員またはプロジェクト管理に特に適合した情報通信技術(ICT)。コンピュータを利用した計画の自動化、事業環境における時間管理、プロジェクト管理、メンテナンス活動計画などが包含される。",-,5L010
8,G06Q10/063,2,オペレーションズリサーチ，分析または管理［２０２３．０１］,"【ＩＰＣタイトル】Operations research, analysis or management [2023.01] 体系的あるいは科学的分析、評価、あるいは他の問題解決技術によるオペレーションズリサーチ。",-,5L010
9,G06Q10/0631,3,企業または組織の資源計画，配分，分配またはスケジューリング［２０２３．０１］,"【ＩＰＣタイトル】Resource planning, allocation, distributing or scheduling for enterprises or organisations [2023.01] ビジネス目標達成のために、最適または体系的な方法で行う資源計画または管理、あるいはビジネスタスクや活動の計画または管理に関するもの。このグループは事業の活動分析に基づいて、ビジネスあるいは商業環境における様々なプロジェクトまたはビジネス単位の資源計画、配置、割り当て、スケジューリングを含む。",-,5L010
10,G06Q10/0633,3,ワークフロー分析［２０２３．０１］,【ＩＰＣタイトル】Workflow analysis [2023.01] 主に、ワークプロセスを理解あるいは最適化するためのワークフローの評価に関するもの。,-,5L010
