No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G08G5/00,0,航空機に対する交通制御システム［２０２５．０１］,-,ナビゲーション一般：G01C。計器一般：G01S。,5H181
2,G08G5/20,1,交通情報を取得，生成，共有または表示するための装置（交通を監視するための装置Ｇ０８Ｇ５／７２）［２０２５．０１］,-,-,5H181
3,G08G5/21,2,航空機内に配置されるもの［２０２５．０１］,-,航空機の着陸援助装置：B64D45/04。,5H181
4,G08G5/22,2,地上に配置されるもの［２０２５．０１］,-,航空機と関連して使用するのに特に適合した地上設備：B64F。,5H181
5,G08G5/23,2,ユーザー用出力インターフェースの細部，例．提示される情報［２０２５．０１］,-,ナビゲーション一般：G01C。計器一般：G01S。,5H181
6,G08G5/24,2,ユーザー用入力インターフェースの細部，例．音声認識または特定のテキスト形式の利用［２０２５．０１］,-,-,5H181
7,G08G5/25,2,航空機間における交通に関する情報の伝送［２０２５．０１］,-,-,5H181
8,G08G5/26,2,航空機と地上局との間における交通に関する情報の伝送［２０２５．０１］,-,-,5H181
9,G08G5/265,3,航空交通管制［ＡＴＣ］のクリアランスを管理するためのもの［２０２５．０１］,-,航空機の着陸援助装置：B64D45/04。,5H181
10,G08G5/27,2,ネットワークのカバー範囲を管理するためのもの，例．無人航空機［ＵＡＶ］の伝送接続を保証するもの［２０２５．０１］,-,-,5H181
11,G08G5/30,1,飛行計画の管理［２０２５．０１］,-,ナビゲーション一般：G01C。,5H181
12,G08G5/32,2,飛行計画を準備するためのもの［２０２５．０１］,-,-,5H181
13,G08G5/34,2,飛行計画を修正するためのもの［２０２５．０１］,-,-,5H181
14,G08G5/36,2,認可された操縦士を識別するためのもの［２０２５．０１］,-,-,5H181
15,G08G5/38,2,着陸地，例．変更先の空港，を識別するためのもの［２０２５．０１］,-,-,5H181
16,G08G5/50,1,航行または誘導案内の支援［２０２５．０１］,-,ナビゲーション一般：G01C。,5H181
17,G08G5/51,2,地上にいるときの制御のためのもの，例．タキシングまたはローリング［２０２５．０１］,-,航空機と関連して使用するのに特に適合した地上設備：B64F。,5H181
18,G08G5/52,2,離陸のためのもの［２０２５．０１］,-,-,5H181
19,G08G5/53,2,巡航のためのもの［２０２５．０１］,-,-,5H181
20,G08G5/54,2,アプローチまたは着陸のためのもの［２０２５．０１］,-,航空機の着陸援助装置：B64D45/04。 地上または航空母艦の甲板上にある視覚または音声による着陸援助装置：B64F1/18。,5H181
21,G08G5/55,2,単一の航空機のためのもの［２０２５．０１］,-,-,5H181
22,G08G5/56,2,２以上の航空機のためのもの［２０２５．０１］,衝突防止システム：G08G5/80。,-,5H181
23,G08G5/57,2,無人航空機のためのもの［２０２５．０１］,-,-,5H181
24,G08G5/58,2,非常事態の状況に対するもの，例．ハイジャックまたはバードストライク［２０２５．０１］,-,-,5H181
25,G08G5/59,2,予め定められた飛行領域に従うもの，例．飛行禁止区域を避けるためのもの［２０２５．０１］,-,ナビゲーション一般：G01C。,5H181
26,G08G5/70,1,交通の状況または状態を監視するための装置［２０２５．０１］,-,-,5H181
27,G08G5/72,2,交通を監視するためのもの［２０２５．０１］,-,-,5H181
28,G08G5/74,2,地形を監視するためのもの［２０２５．０１］,-,-,5H181
29,G08G5/76,2,大気の状態を監視するためのもの［２０２５．０１］,-,-,5H181
30,G08G5/78,2,後方乱気流を監視するためのもの［２０２５．０１］,-,-,5H181
31,G08G5/80,1,衝突防止システム［２０２５．０１］,-,-,5H181
32,G08G5/90,1,アーバン・エア・モビリティ［ＵＡＭ］に特に適合するもの［２０２５．０１］,-,ＵＡＶ（操縦者が搭乗していない乗り物である、無人航空機）であって、乗客を輸送するためのもの：B64U101:61,5H181
