No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,G09B9/00,0,教習または訓練目的のためのシミュレータ（兵器の使用のためのものＦ４１；計算関係Ｇ０６）,-,シミュレータ計算機G06F15/20@D,2C028
2,G09B9/00@A,0,プラント，組立加工プロセスの模擬,-,-,2C028
3,G09B9/00@B,1,発電プラント,-,-,2C028
4,G09B9/00@C,1,化学プラント,-,-,2C028
5,G09B9/00@K,0,建造物，農業土木施設の模擬,-,-,2C028
6,G09B9/00@L,1,内部の音響効果，換気等,-,-,2C028
7,G09B9/00@M,1,地震，火災等,起震車はここに入れる,-,2C028
8,G09B9/00@Z,0,その他のもの,教習又は訓練目的でないシミュレータには分類を付与しない； 老化、妊娠体験 ； 教育目的の育成シミュレータ； 【2005.06.20 更新】,A63F13/00@M ゲーム性に特徴のある育成シミュレーションゲーム; 【2005.06.20 更新】,2C028
9,G09B9/02,1,乗物またはその他の運搬機の操縦を教習するためのもの,ゲームはＡ６３Ｆであるが、操作機構は共通しているので、両方を付与する（以下同じ）,ゲームA63F9/22（以下同じ），G09B19/16,2C028
10,G09B9/04,2,陸上車の操縦を教習するためのもの,-,-,2C028
11,G09B9/04@A,0,自動車の操縦の模擬,-,-,2C028
12,G09B9/04@B,0,鉄道車両の操縦の模擬,-,-,2C028
13,G09B9/04@Z,0,その他のもの,-,-,2C028
14,G09B9/042,3,実際の車両で模擬するもの（Ｇ０９Ｂ９／０５２，Ｇ０９Ｂ９／０５８が優先）［５］,-,-,2C028
15,G09B9/042@A,0,自動車またはその一部で提供するもの,-,-,2C028
16,G09B9/042@B,0,鉄道車両またはその一部で提供するもの,-,-,2C028
17,G09B9/042@Z,0,その他のもの,-,-,2C028
18,G09B9/048,3,模型が遠隔地点から観察され操作されるもの（Ｇ０９Ｂ９／０５２，Ｇ０９Ｂ９／０５８が優先）［５］,-,-,2C028
19,G09B9/05,3,車両からの視界が模擬されるもの（Ｇ０９Ｂ９／０５２，Ｇ０９Ｂ９／０５８が優先）［５］,-,-,2C028
20,G09B9/05@A,0,投映された像によるもの,-,-,2C028
21,G09B9/05@B,1,ゲ－ムの要素を有するもの,-,-,2C028
22,G09B9/05@E,0,ＣＲＴその他の表示装置によるもの,-,-,2C028
23,G09B9/05@F,1,ゲ－ムの要素を有するもの,-,-,2C028
24,G09B9/05@Z,0,その他のもの,-,-,2C028
25,G09B9/052,3,被訓練者の行動を記録または測定するための設備で特徴づけられるもの［５］,-,-,2C028
26,G09B9/058,3,自転車またはオートバイの操縦を教習するためのもの［５］,-,-,2C028
27,G09B9/058@A,0,ゲ－ムの要素を有するもの,-,-,2C028
28,G09B9/058@Z,0,その他のもの,-,-,2C028
29,G09B9/06,2,船舶，ボートまたは他の水上乗物の操縦を教習するためのもの［２］,-,-,2C028
30,G09B9/06@A,0,船舶からの視界が模擬されるもの,-,-,2C028
31,G09B9/06@B,1,投映された像によるもの,-,-,2C028
32,G09B9/06@C,1,ＣＲＴその他の表示装置によるもの,-,-,2C028
33,G09B9/06@D,1,ゲ－ムの要素を有するもの,-,-,2C028
34,G09B9/06@K,0,操舵制御系の模擬,-,-,2C028
35,G09B9/06@S,0,帆走，サ－フインの模擬,-,-,2C028
36,G09B9/06@T,1,ゲ－ムの要素を有するもの,-,-,2C028
37,G09B9/06@Z,0,その他のもの,-,-,2C028
38,G09B9/08,2,航空機の操縦を教習するためのもの，例．リンクトレーナー,-,-,2C028
39,G09B9/10,3,模擬された飛行または機関によって発生され，航空機乗員に付与する力を有するもの（Ｇ０９Ｂ９／２８が優先）［５］,-,-,2C028
40,G09B9/12,3,航空機シミュレータのための運動システム［５］,-,-,2C028
41,G09B9/14,4,流体作動ピストンまたはシリンダラムによって制御されるもの［５］,-,-,2C028
42,G09B9/16,3,周囲または航空機の状況が計器または警報によって模擬または指示されるもの［５］,-,-,2C028
43,G09B9/18,4,エンジンまたは燃料供給の状況［５］,-,-,2C028
44,G09B9/20,4,航空機の飛行姿勢の模擬または指示［５］,-,-,2C028
45,G09B9/22,3,航空機音の模擬を含むもの［５］,-,-,2C028
46,G09B9/24,3,模擬飛行路の表示または記録を含むもの［５］,-,-,2C028
47,G09B9/26,3,電波航法の模擬［５］,-,-,2C028
48,G09B9/28,3,操舵力または類似のものの模擬［５］,-,-,2C028
49,G09B9/30,3,航空機からの視界の模擬［５］,-,-,2C028
50,G09B9/32,4,投映された画像によるもの（Ｇ０９Ｂ９／３６が優先）［５］,-,-,2C028
51,G09B9/34,4,陰極線管表示装置によるもの（Ｇ０９Ｂ９／３６が優先）［５］,-,-,2C028
52,G09B9/36,4,夜間または悪視界飛行の模擬［５］,-,-,2C028
53,G09B9/38,5,滑走路輪郭または進入路を示す照明の模擬［５］,-,-,2C028
54,G09B9/40,3,機上搭載レーダの模擬［５］,-,-,2C028
55,G09B9/42,3,模擬飛行訓練中に地上または水上を走行する航空機，航空機シミュレータ，またはそれに接続された手段［５］,-,-,2C028
56,G09B9/44,3,飛行路の制限なしに大気中を飛行している実際の航空機内で模擬するもの［５］,-,-,2C028
57,G09B9/46,3,航空機がヘリコプタであるもの［５］,-,-,2C028
58,G09B9/48,3,模型が遠隔地点から観察され操作されるもの［５］,-,-,2C028
59,G09B9/50,3,航空機の進路を自動的に指示するもの［５］,-,-,2C028
60,G09B9/52,2,宇宙空間運行体の操縦を教習するためのもの［５］,-,-,2C028
61,G09B9/54,1,レーダの模擬（Ｇ０９Ｂ９／４０が優先）［５］,-,-,2C028
62,G09B9/56,1,ソナーの模擬［５］,-,-,2C028
