No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,H04B7/00,0,無線伝送方式，すなわち放射電磁界を用いるもの（Ｈ０４Ｂ１０／００，Ｈ０４Ｂ１５／００が優先）［２００６．０１］,"【ＩＰＣタイトル】 Radio transmission systems, i.e. using radiation field (H04B 10/00, H04B 15/00 take precedence) [1, 2006.01] 無線伝送一般。他に含まれないもの。 特に、無線伝送方式に特徴があり、かつ、二地点間の通信に特徴があるものは、「＃Ｐ２Ｍ」のフリーワードを付与した上で、この分類を付与する。 ただし、5K067が主分類を付与するものは、主分類、副分類を含めて付与しない。",5K067,5K046
2,H04B7/005,1,伝送の制御；等化［２００６．０１］,"【ＩＰＣタイトル】 Control of transmission; Equalising [3, 2006.01] 無線伝送方式における伝送の制御、等化。 ＳＦＮ(single frequency network)における回り込みキャンセラについては、技術的特徴によってこの分類かH04B7/015かを主分類とする。 【キーワード】 フェージング、伝送歪、符号間干渉",H03H21/00 H04L27/00@K H04B7/015 H04B7/15（ＳＦＮの中継器）,5K046
3,H04B7/01,1,位相偏移の低減［２００６．０１］,"【ＩＰＣタイトル】 Reducing phase shift [3, 2006.01] 無線伝送方式における位相偏移の低減 【キーワード】 位相偏移、位相シフト",-,5K046
4,H04B7/015,1,反響効果の低減［２００６．０１］,"【ＩＰＣタイトル】 Reducing echo effects [3, 2006.01] 無線伝送方式における反響効果の低減 マルチパスによる干渉波低減技術 ＳＦＮ(single frequency network)における回り込みキャンセラについては、技術的特徴によってこの分類かH04B7/005かを主分類とする 【キーワード】 マルチパス、干渉波",H04B3/23 H04M1/58、1/60 H03H21/00 H04B7/005 H04B7/15（ＳＦＮの中継器）,5K046
5,H04B7/02,1,ダイバーシチシステム；マルチアンテナシステム，すなわち，複数のアンテナを用いた送信または受信（ＲＡＫＥ受信機Ｈ０４Ｂ１／７１１５）［２０１８．０１］,"【ＩＰＣタイトル】 Diversity systems [1, 2006.01] ダイバーシチ、ビームフォーミング、MIMOに関連する観点・技術的特徴に対応する全ての分類を付与する。対応する分類が複数あれば、複数の分類を付与する。 【キーワード】 ダイバーシチ、MIMO、ビームフォーミング（ビームステアリング）、プリコーディング、コードワード、ストリーム、レイヤ、ランク（空間多重数）、ブランチ、アンテナポート","SDM（空間多重）またはSDMA（空間分割多元接続）と明記されたものは、H04J99/00も付与。 送信の繰り返しによるもの H04L1/08 OFDM H04L27/26,100以下 中継方式 H04B7/14 レイク受信器 H04B1/7115 セル構成の観点でビームステアリングを使用するもの H04W16/28 空間周波数符号化 H04L1/06,060 時空間符号化 H04L1/06,180 時間空間周波数符号化 H04L1/06,940 到来方向推定 5J021（可変指向性アンテナ、アンテナ配列） 5J058（方向探知）",5K159
6,H04B7/022,2,サイトダイバーシチ；マクロダイバーシチ（離れて配置された２以上の独立アンテナを用いるものＨ０４Ｂ７／０４）［２０１７．０１］,【ＩＰＣタイトル】 Site diversity; macro-diversity (using two or more spaced independent antennas H04B7/04) [2017.01] 離れて配置された複数の装置を用いて、ダイバーシチ又はMIMO通信を行うもの。 【キーワード】 セル間ハンドオーバー、 複数の基地局で送受信した信号によるダイバーシチ、 CoMP(Coordinated Multi-Point)、 RRH（Remote Radio Head）、 BBU(Baseband Unit)、 Fronthaul、 HetNet(Heterogeneous Network),ハンドオフまたは再選択 H04W36/00 セクターダイバーシチ H04B7/0491 CoMP技術のうち、物理層よりもシステムに特徴があるものはH04W28/16 HetNetなどの階層的セル構成 H04W16/32 RoF H04B10/2575,5K159
7,H04B7/024,3,いくつかの地点にある複数のアンテナの協調使用，例．多地点協調システムにおけるもの又は協調多入力多出力［ＭＩＭＯ］システムにおけるもの［２０１７．０１］,"【ＩＰＣタイトル】 Co-operative use of antennas at several sites, e.g. in co-ordinated multipoint or co-operative multiple-input multiple-output [MIMO] systems [2017.01]",-,5K159
8,H04B7/026,3,協調ダイバーシチ，例．固定局または移動局を中継局として使用するもの［２０１７．０１］,"【ＩＰＣタイトル】 Co-operative diversity, e.g. using fixed or mobile stations as relays [2017.01] 複数の装置のうちの一部が中継器として動作することにより、ダイバーシチ通信を実現するもの。",中継方式 H04B7/14 マルチユーザMIMOシステム H04B 7/0452,5K159
9,H04B7/04,2,離れて配置された２以上の独立アンテナを用いるもの［２０１７．０１］,"【ＩＰＣタイトル】 using a plurality of spaced independent aerials [1, 2006.01] 単一の装置に配置された複数のアンテナを用いて、ダイバーシチ又はMIMO通信を行うもの。",-,5K159
10,H04B7/0404,3,複数のアンテナを含む移動局，例．アップリンクダイバーシチを提供するためのもの［２０１７．０１］,"【ＩＰＣタイトル】 the mobile station comprising multiple antennas, e.g. to provide uplink diversity [2017.01] アップリンクで送信側が複数のアンテナを備えており、ダイバーシチ送信していることが明らかであるもの。","端末でのアンテナ制御 H04W88/02,140  ダイバーシチ  H04W88/02,141",5K159
