No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,H04N5/00,0,テレビジョン方式の細部（走査の細部またはそれらと走査用電圧の発生手段との結合Ｈ０４Ｎ３／００）［４，２０１１．０１］,-,-,5C056
2,H04N5/00@B,0,伝送；中継,テレビジョン信号の伝送及び中継（例：テレビジョン中継放送機）。,H04N5/38（送信機回路） H04N7/00（伝送方式） H04N7/10（有線伝送方式）,5C056
3,H04N5/00@Z,0,その他,テレビジョンに関連する装置の中で他の分類に入らないもの。,H04N5/44@Z（テレビジョン受像機のその他）,5C056
4,"H04N5/00,101",1,共同受像,テレビジョン放送の共同受像用装置（例：分岐器、分配器）。,H04N7/10（CATV） H04N7/16@A（加入テレビジョン方式の装置細部）,5C056
5,H04N5/04,1,同期（パルス符号変調を用いるテレビジョン方式のためのものＨ０４Ｎ７／５６）［４］,"【ＩＰＣタイトル】 Synchronising (for television systems using pulse code modulation H04N 7/56) [1, 4, 2006.01] ・テレビジョン信号を表示する表示装置以外の表示装置（例：コンピュータ用ＣＲＴ）の同期信号処理に関するものは、G09Gが主。 ・テレビジョン信号を表示する表示装置の制御と関連するものは、Ｈ０４Ｎ５／６６が主。 ・文字放送の同期信号処理に関するものには分類を付与しない（→Ｈ０４Ｎ７／０８@Ａ）。",H04N7/08@A,5C020
6,H04N5/04@A,0,同期信号の伝送方式,同期信号の伝送。特に、同期信号を伝送する際の波形、重畳方法、伝送タイミング等に特徴を有するもの。,H04N7/00（テレビジョン方式） H04N11/00（カラーテレビジョン方式） H04N1/36（ファクシミリの同期）,5C020
7,H04N5/04@Z,0,その他,テレビジョンの同期に関するもので他の分類に入らないもの。 （例：同期信号の有無の判別、同期信号の極性の判別・変換、同期信号の波形処理）,H04N5/44（映像信号判別回路） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N9/44（色同期）,5C020
8,"H04N5/04,101",2,同期結合,Ｈ０４Ｎ５／０７３Ａ、Ｂが優先。,-,5C020
9,H04N5/05,2,同期範囲を拡張するための装置を有する同期回路，例．複数の時定数を切換えるもの［２］,"【ＩＰＣタイトル】 Synchronising circuits with arrangements for extending range of synchronisation, e.g. by using switching between several time constants [2, 2006.01] 同期信号の受信状態（例：電界強度・雑音レベル）や特定の期間（例：垂直帰線期間）に応じて、同期引込範囲を変えるもの。 （例：ＡＦＣ回路の時定数を切り換えるもの）",H04N5/06（同期信号の発生） H04N5/12@A（AFC回路） H04N3/16（偏向回路） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N9/44（色同期）,5C020
10,H04N5/06,2,同期信号の発生,"【ＩＰＣタイトル】 Generation of synchronising signals [1, 2006.01]",-,5C020
11,H04N5/06@A,0,垂直同期信号の発生,垂直同期信号の同期信号の発生。 すなわち、ＰＬＬ回路等を用いて、複合映像信号や複合同期信号から分離した外部同期信号に同期して、内部垂直同期信号を発生させるもの。あるいは、クロック信号を分周することのみによって、垂直同期信号を発生させるもの。,H04N5/12@A（AFC回路） H04N5/66（表示装置の制御） H04N3/16（偏向回路） H04N5/91@D（記録のための同期信号処理、疑似垂直同期信号の発生） H04N5/92@F（記録のための同期信号の変換、疑似垂直同期信号の発生） H04N5/93@A（再生のための同期信号処理、疑似垂直同期信号の発生） H04N9/44（色同期）,5C020
12,H04N5/06@B,0,ＰＡＬ方式,ＰＡＬ方式用の同期信号の発生。,H04N5/12@A（AFC回路） H04N5/66（表示装置の制御） H04N3/16（偏向回路） H04N5/91@D（記録のための同期信号処理、疑似垂直同期信号の発生） H04N5/92@F（記録のための同期信号の変換、疑似垂直同期信号の発生） H04N5/93@A（再生のための同期信号処理、疑似垂直同期信号の発生） H04N9/44（色同期）,5C020
13,H04N5/06@Z,0,その他,垂直同期信号以外の同期信号（主に、水平同期信号）の発生。 すなわち、ＰＬＬ回路等を用いて、複合映像信号や複合同期信号から分離した外部同期信号に同期して、内部水平同期信号を発生させるもの。あるいは、クロック信号を分周することのみによって、水平同期信号を発生させるもの。,H04N5/12@A（AFC回路） H04N5/66（表示装置の制御） H04N3/16（偏向回路） H04N5/91@D（記録のための同期信号処理、疑似水平同期信号の発生） H04N5/92@F（記録のための同期信号の変換、疑似水平同期信号の発生） H04N5/93@A（再生のための同期信号処理、疑似水平同期信号の発生） H04N9/44（色同期）,5C020
