No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,H04Q9/00,0,遠隔制御システムまたはテレメータシステムにおいて一つのメインステーションから一つのサブステーションを選択的に呼び出すための配置であって，そのサブステーションは対象となる装置を選択して，その装置に制御信号を印加し，またはその装置から測定値を得るもの,"【ＩＰＣタイトル】 Arrangements in telecontrol or telemetry systems for selectively calling a substation from a main station, in which substation desired apparatus is selected for applying a control signal thereto or for obtaining measured values therefrom [1, 2006.01] この分類の範囲は、 １．メインステーション（主局）が、多数のサブステーションのうちから所望のものを選択接続・選択呼出しする。 ２．主局は、選択したサブステーション内の装置・機器から測定値を得る。 原則的には、以上の要件を全て備えるものがこの分類の範囲。 （参考：”サブステーション”とは、端末装置、または端末装置をあれこれと区別せずに単一の端末装置を回線に接続しうる装置を意味する） 　なお、Ｂ６０Ｒ２３／００，Ｂ６５Ｇ４７／５１，Ｂ６６Ｃ１３／１６，Ｇ２１Ｆ７／０６，Ｈ０３Ｇ１／０２等に記載されているように、遠隔制御一般、遠隔指示一般は、Ｇ０５，Ｇ０８を参照。  また、請求項に用途を含まない。請求項に用途を含むものはその用途分野の分類が第１分類となる。ここは第２分類として付与される。 【キーワード】 遠隔制御、遠隔測定、遠隔計測、リモコン、リモートコントロール",-,5K048
2,"H04Q9/00,301",1,グル－プ９／０２から９／１６に包含される呼出し方式またはその他の呼出し方式に共通する事項,詳細な説明の記載から用途別に分けたもの,-,5K048
3,"H04Q9/00,301@A",0,電源〔電力給電，配電回路網内のスイツチ手段の遠隔制御は，Ｈ０２Ｊ１３／００〕,被制御対象の電源を制御、被制御対象に電源を供給、リモコンの電源,-,5K048
4,"H04Q9/00,301@B",0,特殊用途,移動体（自動車、船、飛行機列車等）、産業機器、建設機械、鍵（錠前）,-,5K048
5,"H04Q9/00,301@C",1,ビル管理用,ビル内の設備機器（照明機器、ドア、空調機器等）の遠隔制御、監視 防犯，防災（主はG08B） 【キーワード】 ビル、ビルディング,-,5K048
6,"H04Q9/00,301@D",1,ホ－ム・コントロ－ル用,ホーム内の設備機器（映像音響機器、照明器具、空調機器、錠前、風呂等）の遠隔 制御、それらの遠隔制御システム、電話回線によるホーム外からの制御,-,5K048
7,"H04Q9/00,301@E",1,音響・映像装置用〔ＴＶ受信機に限定されるものは，Ｈ０４Ｎ；テ－プレコ－ダに限定されるものは，Ｇ１１Ｂ〕,-,-,5K048
8,"H04Q9/00,301@Z",0,その他,Ａ、Ｂ、Ｃ、Ｄ、Ｅに該当しないものが分類される。,-,5K048
9,"H04Q9/00,311",2,選択信号と制御，確認または測定値信号とを伝送する方式に関するもの,-,-,5K048
10,"H04Q9/00,311@A",0,選択制御方式に特徴を有するもの,-,-,5K048
11,"H04Q9/00,311@B",1,ポ－リング呼出し,-,-,5K048
12,"H04Q9/00,311@C",1,ＴＤＭによる呼出し〔３１１Ｈ～３１１Ｋを優先〕,-,-,5K048
13,"H04Q9/00,311@D",2,逐次呼出し〔アドレスを有しないもの〕,-,-,5K048
14,"H04Q9/00,311@E",1,遅延呼出し,-,-,5K048
15,"H04Q9/00,311@F",1,多重選択防止,アドレスの重複検出防止　等,-,5K048
16,"H04Q9/00,311@G",1,優先処理〔故障優先等〕,-,-,5K048
17,"H04Q9/00,311@H",0,測定値または機器の状態に関するデ－タ収集,-,Ｇ０８Ｃ,5K048
18,"H04Q9/00,311@J",1,監視デ－タ収集,-,Ｇ０８Ｂ、Ｇ０８Ｃ,5K048
19,"H04Q9/00,311@K",2,状態変化の検出および送出,-,Ｇ０８Ｂ、Ｇ０８Ｃ,5K048
20,"H04Q9/00,311@L",0,誤動作防止〔故障対策を含める；単一周波の使用によるもの，９／１０Ｂ〕,-,-,5K048
21,"H04Q9/00,311@M",1,冗長な装置を用いるもの〔現用予備等〕,-,-,5K048
22,"H04Q9/00,311@N",1,符号誤り制御〔返送照合，連送，照合等〕,-,Ｈ０４Ｌ１／００，Ｈ０３Ｍ１３／００等,5K048
23,"H04Q9/00,311@P",0,設定値制御信号に関するもの,アドレス設定手段，端末器機能の設定手段　等,-,5K048
24,"H04Q9/00,311@Q",0,ＣＰＵを用いた点に特徴を有するもの〔例．学習機能，音声認識リモコン〕,-,-,5K048
25,"H04Q9/00,311@R",0,他の伝送線への信号の重畳,-,-,5K048
26,"H04Q9/00,311@S",1,電力線搬送,-,Ｈ０２Ｊ１３／００等,5K048
27,"H04Q9/00,311@T",0,伝送媒体に特徴を有するもの,-,Ｈ０４Ｂ等,5K048
28,"H04Q9/00,311@U",1,光,-,-,5K048
29,"H04Q9/00,311@V",1,音,-,-,5K048
30,"H04Q9/00,311@W",0,監視，試験,電力系統の監視（H02J13/00が主）を付与する場合 遠隔制御を含む診断,-,5K048
31,"H04Q9/00,311@X",1,非動作中のもの〔試験〕,-,-,5K048
32,"H04Q9/00,311@Z",0,その他〔電話線を使用するもの→Ｈ０４Ｍ１１／００〕,-,-,5K048
33,"H04Q9/00,321",3,局（ステ－シヨン）構成に関するもの（局の配列構成を含む）,-,Ｈ０４Ｌ１１等,5K048
34,"H04Q9/00,321@A",0,〔１：１〕ＸＮ方式,-,-,5K048
35,"H04Q9/00,321@B",0,１：Ｎ方式,-,-,5K048
36,"H04Q9/00,321@C",0,Ｍ：Ｎ方式,-,-,5K048
37,"H04Q9/00,321@D",0,階層系〔群構成〕,-,-,5K048
38,"H04Q9/00,321@E",0,多局共通線伝送〔単一の伝送線路〕,-,"H04L12/40,800 H04L11/00,320等",5K048
39,"H04Q9/00,321@F",1,ル－プ接続,-,-,5K048
40,"H04Q9/00,321@Z",0,その他,"インターネット,ＷＷＷ等",-,5K048
41,"H04Q9/00,331",4,親局（メインステ－シヨン）の構成,-,-,5K048
42,"H04Q9/00,331@A",0,入力部〔例．マン・マシン・インタ－フエ－ス〕,-,-,5K048
43,"H04Q9/00,331@B",0,送受信部,-,-,5K048
44,"H04Q9/00,331@Z",0,その他,音声認識等,-,5K048
45,"H04Q9/00,341",4,子局（サブステ－シヨン）の構成,-,-,5K048
46,"H04Q9/00,341@A",0,出力部〔例．制御機器とのインタ－フエ－ス〕,-,-,5K048
47,"H04Q9/00,341@B",0,送受信部,-,-,5K048
48,"H04Q9/00,341@Z",0,その他,-,-,5K048
49,"H04Q9/00,351",2,遠隔制御と直接制御との切換（自動制御と手動制御との切換を含む）,-,-,5K048
50,"H04Q9/00,361",2,表示部（例．選択の表示，機器の表示）,-,-,5K048
51,"H04Q9/00,371",2,構造，機構に関するもの,-,-,5K048
52,"H04Q9/00,371@A",0,筐体および筐体への実装,-,-,5K048
53,"H04Q9/00,371@B",0,操作部,-,-,5K048
54,"H04Q9/00,371@Z",0,その他,回路的要素等,-,5K048
55,H04Q9/02,1,自動的に操作される配置,"【ＩＰＣタイトル】 Automatically-operated arrangements [1, 2006.01]",-,5K048
56,H04Q9/02@A,0,逐次起動〔例．縦続接続〕,-,-,5K048
57,H04Q9/02@B,0,プログラム制御,-,-,5K048
58,H04Q9/02@C,0,フイ－ドバツク制御,-,-,5K048
59,H04Q9/02@Z,0,その他,-,-,5K048
60,H04Q9/04,1,同期操作のための配置,"【ＩＰＣタイトル】 Arrangements for synchronous operation [1, 2006.01]",-,5K048
61,H04Q9/06,1,直流の振幅または極性の使用による呼び出し,"【ＩＰＣタイトル】 Calling by using amplitude or polarity of dc [1, 2006.01]",-,5K048
62,H04Q9/08,1,連続交流の使用による呼び出し,"【ＩＰＣタイトル】 Calling by using continuous ac [1, 2006.01]",-,5K048
63,H04Q9/10,2,別々の単一周波数の使用によるもの,"【ＩＰＣタイトル】 using single different frequencies [1, 2006.01]",-,5K048
64,H04Q9/10@A,0,信号の検定〔遅延動作によるものを含む〕,-,-,5K048
65,H04Q9/10@B,0,誤動作防止,-,-,5K048
66,H04Q9/10@C,1,雑音検出によるもの,-,-,5K048
67,H04Q9/10@D,0,伝送媒体に特徴を有するもの〔９／１０Ａ～９／１０Ｃを優先〕,-,-,5K048
68,H04Q9/10@E,1,有線伝送によるもの〔９／１０Ａ～９／１０Ｃを優先〕,-,-,5K048
69,H04Q9/10@Z,0,その他,-,-,5K048
70,H04Q9/12,2,周波数の結合を使用するもの,"【ＩＰＣタイトル】 using combinations of frequencies [1, 2006.01]",-,5K048
71,H04Q9/12@A,0,周波数の直列的結合を使用するもの,-,-,5K048
72,H04Q9/12@B,0,周波数の並列的結合を使用するもの,-,-,5K048
73,H04Q9/12@Z,0,その他のもの,-,-,5K048
74,H04Q9/14,1,パルスの使用による呼び出し,"【ＩＰＣタイトル】 Calling by using pulses [1, 2006.01]",-,5K048
75,H04Q9/14@A,0,パルスの属性によるもの,-,-,5K048
76,H04Q9/14@B,1,パルス周波数,-,-,5K048
77,H04Q9/14@C,1,パルス位置，間隔,-,-,5K048
78,H04Q9/14@D,1,パルス幅,-,-,5K048
79,H04Q9/14@E,1,パルスの検定,-,-,5K048
80,H04Q9/14@F,0,バルス符号によるもの,-,-,5K048
81,H04Q9/14@G,1,パルス符号の作成,-,-,5K048
82,H04Q9/14@H,1,パルス符号の復号,-,-,5K048
83,H04Q9/14@J,1,パルス符号の検定〔表示渋滞，制御渋滞の検出を含む〕,-,-,5K048
84,H04Q9/14@K,0,伝送フオ－マツトに特徴を有するもの,アドレス設定等,-,5K048
85,H04Q9/14@L,0,同期,-,-,5K048
86,H04Q9/14@Z,0,その他,-,-,5K048
87,H04Q9/16,2,所定数のパルスによるもの,"【ＩＰＣタイトル】 by predetermined number of pulses [1, 2006.01]",-,5K048
