No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
1,H04W88/00,0,無線通信ネットワークに特に適合する装置，例．端末装置，基地局装置またはアクセスポイント装置［２００９．０１］,"【ＩＰＣタイトル】 Devices specially adapted for wireless communication networks, e.g. terminals, base stations or access point devices [2009.01] 公衆電話またはデータネットワークの端部に存在する装置（例、ゲートウェイ）。 サービスサポート，ネットワーク管理装置。 無線バックボーンネットワークにおける交換機またはルーティング装置。 無線アクセスネットワーク装置（例、アクセスポイント，アクセス制御装置）。 端末装置。",-,5K067
2,H04W88/02,1,端末装置［２００９．０１］,【ＩＰＣタイトル】 Terminal devices [2009.01] ユーザまたはその代理としての物理的な装置。,サブステーション装置：H04M1/00,5K067
3,"H04W88/02,110",2,表示,発着信・圏外・レベル表示以外の、無線回線の接続制御等のエアーインターフェースに関係する情報の表示。,"表示、話中表示等：H04M1/00@W ガイダンス：H04M1/247 5K023：HH01（表示対象）, HH02（電話番号）, HH04（動作状態）, HH05（表示手段）, HH07（LCD）、5K027 FF01（表示対象）, FF02（回線状態）, FF04（話中）, FF12（以上状態）",5K067
4,"H04W88/02,120",2,音声回路,音声回路、VOX制御など。,音声用の回路：H04M1/00H 音声増幅器を含むもの：H04M1/60 音声符号化方式：G10L9/14,5K067
5,"H04W88/02,130",2,付加機能,携帯に付加機能（たとえばTV、カメラなど）を付けるもの。,"他の電気機器との結合：H04M1/00@U 双方向ＴＶ(携帯のＴＶ電話)：H04N7/14 ステレオ装置：H04R3/12 MP3プレーヤ等：G10K15/04,303 5K027：HH26（他の電気機器との結合）, HH29（AV機器） 5K023：MM00（付加装置）, MM17（カレンダ）, MM19（ラジオ）, MM20（TV）",5K067
6,"H04W88/02,131",3,インストールされたアプリケーションによるもの,端末にインストールされたソフトウェア、アプリケーションにより実現される機能。 例：スケジュール,"電子手帳等におけるスケジュール情報管理：G06F15/02,330@P-Q ネットワークゲーム：A63F13/12",5K067
7,"H04W88/02,140",2,端末でのアンテナ制御,ビームステアリングの使用など。 基地局やシステム全体のアンテナ制御：16/28,-,5K067
8,"H04W88/02,141",3,ダイバーシチ,-,ダイバーシチ、アダプティブアレイ：H04B7/08,5K067
9,"H04W88/02,150",2,端末の試験・監視・測定,ネットワーク（基地局含む）の試験・監視：24/00,電話端末の試験装置：H04M1/24,5K067
10,"H04W88/02,151",3,測定回路,受信レベル、干渉レベル等の測定。,電磁界の測定：G01R29/08,5K067
11,"H04W88/02,160",2,ソフトウェア無線,ソフトウエア無線自体に特徴があるもの。 マルチモード端末：88/06 ネットワークの選択：48/18,-,5K067
12,"H04W88/02,170",2,ワイヤレスローカルループに適用されるもの,-,-,5K067
13,H04W88/04,2,他の端末またはユーザに中継するもの［２００９．０１］,【ＩＰＣタイトル】 adapted for relaying to or from another terminal or user [2009.01] 他のユーザ／端末の代わりに中継器として動作する、すなわち、前記ユーザ／端末から／にユーザ情報または制御情報を転送する、端末装置の技術や手段。 情報は通常選択的に確立した無線通信リンクを用いて伝送される。 端末間インターフェース、子機間通信：92/18,-,5K067
14,H04W88/06,2,複数のネットワークでの運用に適応したもの，例．マルチモード端末［２００９．０１］,"【ＩＰＣタイトル】 adapted for operation in multiple networks, e.g. multi-mode terminals [2009.01] １つまたは複数の通信リンクを用いて、１つまたは複数の異なるネットワークと通信する端末機器。 ハンドオーバでのネットワークの再選択：36/14 ネットワークの選択：48/18",-,5K067
15,H04W88/08,1,アクセスポイント装置［２００９．０１］,【ＩＰＣタイトル】 Access point devices [2009.01] ネットワークから／への接続と無線のサービスエリアを提供する装置。 例：基地局、BTS、Node B,"サブステーション増設配置：H04M1/72 複数のアクセスポイント：H04L12/28,310",5K067
16,H04W88/10,2,複数のネットワークでの運用に適応したもの，例．マルチモードアクセスポイント［２００９．０１］,"【ＩＰＣタイトル】 adapted for operation in multiple networks, e.g. multi-mode access points [2009.01] 異なる無線インターフェース（例、アナログ－デジタル、ＷＬＡＮ－セルラー、ＧＳＭ９００－ＧＳＭ１８００）を用いる、または異なる事業者が同一の無線インターフェースを使用する異なるシステムにおいて動作するアクセスポイント。",-,5K067
17,H04W88/12,1,アクセスポイント制御装置［２００９．０１］,【ＩＰＣタイトル】 Access point controller devices [2009.01] アクセスポイントを制御するための装置。 例：基地局制御装置(BSC)、無線ネットワーク制御装置（RNC),-,5K067
18,H04W88/14,1,バックボーンネットワークの装置［２００９．０１］,【ＩＰＣタイトル】 Backbone network devices [2009.01] 一般の公衆網と無線ユーザ間の接続を確立するための交換機またはルータ装置。 例：MSC/SGSN,-,5K067
19,H04W88/16,1,ゲートウェイ装置［２００９．０１］,【ＩＰＣタイトル】 Gateway arrangements [2009.01] 公衆電話網またはデータネットワークへの接続装置またはインターフェース 例：GMSC/GGSN,統合交換、網間接続：H04M3/00@B ゲートウェイ：H04L12/66,5K067
20,H04W88/18,1,サービスサポート装置；ネットワーク管理装置［２００９．０１］,【ＩＰＣタイトル】 Service support; Network management devices [2009.01] ユーザへの無線通信ネットワークサービスに特に適したネットワーク装置。 オペレーションおよびメンテナンス：24/00,網管理：H04M3/00@D,5K067
21,"H04W88/18,110",2,コーディング変換，レート変換装置,-,統合交換，網間接続：H04M3/00@B,5K067
22,"H04W88/18,130",2,メッセージ蓄積装置，メッセージセンター,-,伝言・通報を蓄積した後、着信者に送出するもの：H04M3/42@J メッセージを記録するための中央集中配置：H04M3/53,5K067
